,name,api_keyword,business_status,place_id,lat,lng,rating,user_ratings_total,types,vicinity,price_level
0,Mama Restaurant Paris West,restaurant,OPERATIONAL,ChIJaQnWVRdx5kcREX0D9Ip5T2M,48.8287134,2.29196,4.3,754,"['restaurant', 'food', 'point_of_interest', 'establishment']","20 Av. de la Prte de la Plaine, Paris",
1,Bar Restaurant l’Auberge,restaurant,OPERATIONAL,ChIJL9Bi8Ylw5kcRCb-dBc0EKHs,48.8161689,2.2902914,4.3,51,"['restaurant', 'food', 'point_of_interest', 'establishment']","15 Rue Hoche, Malakoff",
2,Le Canastel,restaurant,OPERATIONAL,ChIJz1hPZYpw5kcRr10ElHhh43k,48.8163226,2.2928214,4.6,223,"['restaurant', 'food', 'point_of_interest', 'establishment']","123 Rue Paul Vaillant Couturier, Malakoff",1
3,Rosé Restaurant,restaurant,OPERATIONAL,ChIJgUcxPVFx5kcR0sadBL4aMLE,48.82974859999999,2.2919427,4.2,106,"['restaurant', 'food', 'point_of_interest', 'establishment']","4 Av. de la Prte de la Plaine, Paris",
4,Hammamet,restaurant,OPERATIONAL,ChIJW6yhu8p75kcRbI8xbUCQukw,48.8278568,2.246326,4.3,132,"['restaurant', 'food', 'point_of_interest', 'establishment']","2 Rue Heinrich, Boulogne-Billancourt",
5,Restaurant MANASLU,restaurant,OPERATIONAL,ChIJixaqBvR75kcRDbF5Op7UFa4,48.8214542,2.2535793,4.7,300,"['restaurant', 'food', 'point_of_interest', 'establishment']","5 Rue Aristide Briand, Issy-les-Moulineaux",2
6,brasserie restaurant hotel la place Malakoff,restaurant,OPERATIONAL,ChIJDb5DxTVx5kcR6ds1OmB45Dg,48.82181869999999,2.3018503,3.9,26,"['restaurant', 'food', 'point_of_interest', 'establishment']","41 Rue Gabriel Crié, Malakoff",
7,Toscanini,restaurant,OPERATIONAL,ChIJTyBUnDh75kcRJd2UInwp1tc,48.8204107,2.249724,4.5,135,"['restaurant', 'food', 'point_of_interest', 'establishment']","32 Rue Jean Pierre Timbaud, Issy-les-Moulineaux",
8,Restaurant Le Metro,restaurant,OPERATIONAL,ChIJVxPlKItw5kcRXOumWPqtlEo,48.8142283,2.2955531,4.6,169,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Rue Guy Môquet, Malakoff",1
9,Restaurant Par'Issy,restaurant,OPERATIONAL,ChIJGRScR2dx5kcRFLax1CgaQH0,48.82968289999999,2.2839738,4.0,16,"['restaurant', 'food', 'point_of_interest', 'establishment']","3 Rue Ernest Renan, Issy-les-Moulineaux",
10,Le Restaurant du Marché,restaurant,OPERATIONAL,ChIJYaEFx2lw5kcRNAeOQauaprw,48.8303756,2.2962379,4.1,131,"['restaurant', 'food', 'point_of_interest', 'establishment']","59 Rue de Dantzig, Paris",2
11,Restaurant Novecento,restaurant,OPERATIONAL,ChIJB3MzH2Fx5kcRwzM3wJggCcM,48.7899901,2.2909616,4.5,483,"['restaurant', 'food', 'point_of_interest', 'establishment']","11 Pl. du Château Sainte-Barbe, Fontenay-aux-Roses",2
12,Chez Maharaja,restaurant,OPERATIONAL,ChIJKdbSg3Zx5kcRMD4fz2eDWqw,48.814,2.2773467,4.6,62,"['restaurant', 'food', 'point_of_interest', 'establishment']","7 Bd des Frères Vigouroux, Malakoff",
13,Le French Café,restaurant,OPERATIONAL,ChIJ-32JCSpx5kcROqRX-Ybis4k,48.8209038,2.3003758,4.4,332,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Av. Jules Ferry, Malakoff",
14,Restaurant libanise,restaurant,OPERATIONAL,ChIJaZdq5dZ75kcRLSHM0SqT5-Q,48.8204189,2.2515207,4.3,4,"['restaurant', 'food', 'point_of_interest', 'establishment']","4 Esp. Raoul Follereau, Issy-les-Moulineaux",
15,Restaurant Manufacture,restaurant,OPERATIONAL,ChIJUcrilHBw5kcRSUDq2FqFTwQ,48.8283269,2.2822233,4.2,556,"['restaurant', 'food', 'point_of_interest', 'establishment']","20 Esp. de la Manufacture, Issy-les-Moulineaux",3
16,Le Petit Vanves,restaurant,OPERATIONAL,ChIJQYNLXGRw5kcRcCiFMMrsFXU,48.8234782,2.2889838,4.1,308,"['restaurant', 'food', 'point_of_interest', 'establishment']","34 Av. Victor Hugo, Vanves",3
